date,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm
2020-01-13,,0,0,0,0,,0,0,41,0,0,1,,0,0
2020-01-14,,0,0,0,0,,0,0,41,0,0,1,,0,0
2020-01-15,,0,0,0,0,,0,0,41,0,5,2,,0,0
2020-01-16,,0,0,0,0,,0,0,45,0,8,2,,0,0
2020-01-17,,0,0,0,0,,0,0,62,0,12,2,,0,0
2020-01-18,,0,0,0,0,,0,0,198,0,17,3,,0,0
2020-01-19,,0,0,0,0,,0,0,275,0,18,4,,0,0
2020-01-20,,77,27,0,0,,0,0,291,0,25,6,,0,291
2020-01-21,,149,53,0,0,,0,0,440,0,25,9,,0,431
2020-01-22,,131,257,0,0,,0,0,574,0,25,17,,0,557
2020-01-23,,259,680,0,0,,0,0,835,0,34,25,,0,776
2020-01-24,,444,1118,0,0,,0,0,1297,0,38,41,,0,1218
2020-01-25,,688,1309,0,0,,0,0,1985,0,49,56,,0,1880
2020-01-26,,769,3806,0,0,,0,0,2761,0,51,80,,0,2630
2020-01-27,,1771,2077,0,0,,0,0,4535,0,60,106,,0,4369
2020-01-28,,1459,3248,0,0,,0,0,5997,0,103,132,,0,5762
2020-01-29,,1737,4148,0,0,,0,0,7736,0,124,170,,0,7442
2020-01-30,,1982,4812,0,0,,0,0,9720,0,171,213,,0,9336
2020-01-31,,2102,5019,0,0,,0,0,11821,0,243,259,,0,11319
2020-02-01,,2590,4562,0,0,,0,0,14411,0,328,304,,0,13779
2020-02-02,,2829,5173,0,0,,0,0,17238,0,475,361,,0,16402
2020-02-03,,3235,5072,0,0,,0,0,20471,0,632,425,,0,19414
2020-02-04,,3893,3971,0,0,,0,0,24363,0,892,491,,0,22980
2020-02-05,,3697,5328,0,0,,0,0,28060,0,1153,564,,0,26343
2020-02-06,,3143,4833,0,0,,0,0,31211,0,1542,637,,0,29032
2020-02-07,,3401,4214,0,0,,0,0,34598,0,2052,723,,0,31823
2020-02-08,,2656,3916,0,0,,0,0,37251,0,2651,812,,0,33788
2020-02-09,,3062,4008,0,0,,0,0,40235,0,3283,909,,0,36043
2020-02-10,,2484,3536,0,0,,0,0,42708,0,3998,1017,,0,37693
2020-02-11,,2022,3342,0,0,,0,0,44730,0,4742,1114,,0,38874
