id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,2020-12-17 08:31:21,突尼斯,1306.0,,1083.0,41.0,,,,114547,0,87884,3997,0,0.0
9507896,2020-12-17 00:01:13,塞尔维亚,5353.0,,0.0,0.0,,,,282601,0,15913,2482,0,0.0
0,2020-12-17 20:16:39,中国,104.0,,214.0,1.0,,-15.0,7.0,95479,0,89037,4765,0,4068.0
1,2020-12-17 21:06:38,日本本土,3209.0,,2723.0,31.0,,,,190913,0,158114,2654,0,0.0
2,2020-12-17 13:56:34,泰国,20.0,,12.0,0.0,,,,4281,0,3989,60,0,0.0
3,2020-12-17 17:21:42,新加坡,24.0,,0.0,0.0,,,,58377,0,58238,29,0,0.0
4,2020-12-17 11:01:22,韩国,1011.0,,663.0,22.0,,,,46453,0,33610,634,0,0.0
5,2020-12-17 18:51:42,澳大利亚,13.0,,4.0,0.0,,,,28072,0,25695,908,0,0.0
6,2020-12-17 20:11:45,德国,32195.0,,24453.0,668.0,,,,1423830,0,1056477,24316,0,0.0
7,2020-12-17 10:26:23,美国,246996.0,,162882.0,3509.0,,,,17392618,0,10170735,314577,0,0.0
8,2020-12-17 18:51:43,马来西亚,1220.0,,1297.0,3.0,,,,89133,0,74030,432,0,0.0
9,2020-12-17 08:31:21,越南,0.0,,0.0,0.0,,,,1405,0,1252,35,0,0.0
89566,2020-06-12 17:03:12,圣巴泰勒米,,,,,,,,6,0,6,0,0,
821,2020-12-17 00:01:13,肯尼亚,394.0,,0.0,0.0,,,,92853,0,74403,1614,0,0.0
826,2020-12-17 20:11:46,伊朗,7453.0,,12083.0,212.0,,,,1138530,0,856513,53095,0,0.0
827,2020-12-17 18:51:43,以色列,3325.0,,1598.0,10.0,,,,366612,0,341744,3040,0,0.0
828,2020-06-09 19:59:04,毛利亚尼亚,,,,,,,,16,0,6,2,0,
829,2020-12-17 08:31:21,黎巴嫩,2056.0,,0.0,11.0,,,,150933,0,104207,1234,0,0.0
833,2020-12-17 18:51:43,克罗地亚,3918.0,,3790.0,85.0,,,,186963,0,161563,2955,0,0.0
834,2020-12-17 20:11:45,奥地利,2485.0,,3273.0,218.0,,,,332828,0,294315,4982,0,0.0
835,2020-12-17 20:11:45,瑞士,5058.0,,0.0,93.0,,,,399511,0,311500,6409,0,0.0
839,2020-12-17 08:31:21,希腊,1185.0,,0.0,85.0,,,,127557,0,23074,3870,0,0.0
95800,2020-12-17 08:31:21,毛里求斯,0.0,,0.0,0.0,,,,524,0,489,10,0,0.0
845,2020-12-17 18:16:36,爱沙尼亚,733.0,,416.0,4.0,,,,20004,0,12533,164,0,0.0
846,2020-12-17 08:31:21,北马其顿,865.0,,641.0,25.0,,,,75597,0,51493,2194,0,0.0
850,2020-12-17 18:51:43,白俄罗斯,1834.0,,2024.0,8.0,,,,167731,0,145397,1299,0,0.0
851,2020-12-17 17:21:41,立陶宛,3159.0,,1734.0,26.0,,,,103028,0,45113,933,0,0.0
852,2020-12-17 20:11:46,阿塞拜疆,4124.0,,4205.0,38.0,,,,191460,0,127064,2088,0,0.0
875097,2020-06-12 17:06:26,美属维尔京群岛,,,,,,,,72,0,46,6,0,
95826,2020-06-15 13:26:49,蒙古,,,,,,,,197,0,98,0,0,
872,2020-12-17 17:21:41,乌克兰,12474.0,,13525.0,265.0,,,,957692,0,569200,16579,0,0.0
874,2020-12-17 18:51:43,波兰,11953.0,,10699.0,431.0,,,,1171854,0,903349,24345,0,0.0
879,2020-12-17 00:01:12,波黑,902.0,,0.0,0.0,,,,103232,0,68245,3511,0,0.0
80902,2020-06-12 17:02:32,蒙特塞拉特,,,,,,,,11,0,10,1,0,
880,2020-12-17 08:31:21,南非,10008.0,,9608.0,166.0,,,,883687,0,774585,23827,0,0.0
95198,2020-06-15 14:48:50,布隆迪,,,,,,,,85,0,45,1,0,
95215522,2020-06-15 07:27:53,南苏丹,0.0,0.0,0.0,0.0,0.0,,0.0,1755,0,58,30,0,0.0
893,2020-12-17 21:06:38,马耳他,60.0,,154.0,2.0,,,,11475,0,9670,182,0,0.0
896,2020-12-17 08:31:20,摩尔多瓦,1673.0,,1363.0,25.0,,,,130329,0,112677,2650,0,0.0
897,2020-12-17 08:31:21,保加利亚,1959.0,,2575.0,191.0,,,,186246,0,90510,6196,0,0.0
898,2020-12-17 18:51:43,孟加拉,1134.0,,2239.0,36.0,,,,496975,0,431590,7192,0,0.0
899,2020-06-15 10:20:56,阿尔巴尼亚,,0.0,,,0.0,,,1521,0,1044,36,0,
950000,2020-12-17 00:01:13,巴勒斯坦,2197.0,,0.0,0.0,,,,115606,0,90952,1048,0,0.0
95kml,2020-06-15 13:47:09,科摩罗,,,,,,,,176,0,114,2,0,
953333,2020-12-17 17:21:41,阿富汗,217.0,,30.0,14.0,,,,49378,0,38505,2025,0,0.0
95888822,2020-12-17 00:01:13,沙特阿拉伯,322.0,,0.0,0.0,,,,360335,0,351192,6080,0,0.0
9511123,2020-12-17 00:01:12,新西兰,4.0,,0.0,0.0,,,,2100,0,2032,25,0,0.0
95333,2020-12-17 00:01:13,塔吉克斯坦,38.0,,0.0,0.0,,,,12815,0,12253,89,0,0.0
83356,2020-06-15 13:25:33,泽西岛,,,,,,,,313,0,292,15,0,0.0
954467,2020-06-15 13:51:09,叙利亚,,0.0,,,0.0,,,177,0,74,6,0,
95327,2020-12-17 09:16:24,巴拿马,2960.0,,1745.0,28.0,,,,199947,0,166600,3439,0,0.0
95329,2020-12-17 08:31:21,古巴,83.0,,66.0,0.0,,,,9671,0,8658,137,0,0.0
9511111,2020-12-17 08:31:21,尼日利亚,930.0,,281.0,0.0,,,,75062,0,66775,1200,0,0.0
95858585,2020-12-17 08:31:21,摩洛哥,3351.0,,3924.0,38.0,,,,406970,0,366835,6749,0,0.0
9500222,2020-12-17 20:11:46,塞内加尔,115.0,,35.0,3.0,,,,17451,0,16384,355,0,0.0
95118,2020-06-15 14:24:59,老挝,,,,,,,,19,0,19,0,0,
95350,2020-12-17 09:16:24,巴哈马,16.0,,6.0,0.0,,,,7714,0,6087,164,0,0.0
84226,2020-06-15 10:14:23,马约特岛,,,,,,,,2282,0,1790,28,0,0.0
954444,2020-12-17 18:51:43,斯洛文尼亚,1654.0,,1740.0,43.0,,,,102043,0,79193,2233,0,0.0
95103,2020-12-17 08:31:21,卢森堡,595.0,,434.0,3.0,,,,42845,0,33920,421,0,0.0
95106,2020-12-17 08:31:20,爱尔兰,421.0,,0.0,6.0,,,,77197,0,23364,2140,0,0.0
95102,2020-12-17 08:31:21,厄瓜多尔,1105.0,,0.0,19.0,,,,203461,0,177951,13915,0,0.0
957777,2020-12-17 15:51:29,捷克,8256.0,,4226.0,154.0,,,,602404,0,522649,10036,0,0.0
9522222,2020-12-17 17:21:41,匈牙利,2982.0,,3014.0,157.0,,,,291549,0,86954,7538,0,0.0
8101,2020-06-15 10:57:56,法属圭亚那,0.0,0.0,0.0,0.0,0.0,,0.0,1255,0,534,3,0,0.0
8102,2020-06-15 11:45:39,多哥共和国,,,,,,,,530,0,291,13,0,0.0
8100,2020-12-17 10:06:28,哥斯达黎加,1167.0,,1916.0,11.0,,,,155263,0,122947,1967,0,0.0
8105,2020-12-17 00:01:13,文莱,0.0,,0.0,0.0,,,,152,0,148,3,0,0.0
