id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
420000,2020-12-17 08:31:27,湖北,0,,0,0,,0,68149,0,63637,4512,0,0,,,
810000,2020-12-17 19:56:42,香港,82,,189,1,,-12,7899,0,6534,124,0,0,,,
440000,2020-12-17 08:31:27,广东,1,,0,0,,1,2022,0,1973,8,0,0,,,
310000,2020-12-17 08:31:26,上海,6,,6,0,,0,1424,0,1329,7,0,0,,,
330000,2020-12-17 00:01:15,浙江,0,,0,0,,0,1297,0,1290,1,0,0,,,
410000,2020-12-17 09:46:26,河南,0,,1,0,,-1,1295,0,1267,22,0,0,,,
430000,2020-12-17 00:01:15,湖南,0,,0,0,,0,1020,0,1016,4,0,0,,,
340000,2020-12-17 00:01:15,安徽,0,,0,0,,0,992,0,986,6,0,0,,,
650000,2020-12-17 00:01:15,新疆,0,,0,0,,0,980,0,977,3,0,0,,,
230000,2020-12-17 00:01:14,黑龙江,0,,0,0,,0,960,0,936,13,0,0,,,
110000,2020-12-17 08:31:27,北京,0,,0,0,,0,957,0,940,9,0,0,363.0,0.0,355.0
360000,2020-12-17 00:01:15,江西,0,,0,0,,0,935,0,934,1,0,0,,,
370000,2020-12-17 08:31:27,山东,0,,0,0,,0,859,0,841,7,0,0,,,
510000,2020-12-17 09:46:27,四川,0,,3,0,,-3,838,0,797,3,0,0,,,
700000,2020-12-17 20:16:39,台湾,15,,5,0,,10,757,0,616,7,0,0,,,
320000,2020-12-17 00:01:15,江苏,0,,0,0,,0,684,0,675,0,0,0,,,
500000,2020-12-17 08:31:26,重庆,0,,1,0,,-1,590,0,584,6,0,0,,,
350000,2020-12-17 10:26:30,福建,0,,2,0,,-2,503,0,473,1,0,0,,,
610000,2020-12-17 00:01:15,陕西,0,,0,0,,0,502,0,483,3,0,0,,,
130000,2020-12-17 00:01:14,河北,0,,0,0,,0,373,0,367,6,0,0,,,
150000,2020-12-17 08:41:27,内蒙古,0,,7,0,,-7,342,0,322,1,0,0,,,
120000,2020-12-17 09:46:26,天津,0,,1,0,,-1,303,0,296,3,0,0,,,
210000,2020-12-17 00:01:15,辽宁,0,,0,0,,0,289,0,287,2,0,0,,,
450000,2020-12-17 00:01:15,广西,0,,0,0,,0,264,0,261,2,0,0,,,
530000,2020-12-17 08:31:27,云南,0,,0,0,,0,226,0,211,2,0,0,,,
140000,2020-12-17 00:01:15,山西,0,,0,0,,0,222,0,220,0,0,0,,,
620000,2020-12-17 00:01:15,甘肃,0,,0,0,,0,182,0,180,2,0,0,,,
460000,2020-12-17 00:01:14,海南,0,,0,0,,0,171,0,165,6,0,0,,,
220000,2020-12-17 00:01:14,吉林,0,,0,0,,0,157,0,155,2,0,0,,,
520000,2020-12-17 00:01:15,贵州,0,,0,0,,0,147,0,145,2,0,0,,,
640000,2020-12-17 00:01:15,宁夏,0,,0,0,,0,75,0,75,0,0,0,,,
820000,2020-12-17 00:01:14,澳门,0,,0,0,,0,46,0,46,0,0,0,,,
630000,2020-12-17 00:01:14,青海,0,,0,0,,0,18,0,18,0,0,0,,,
540000,2020-12-17 00:01:14,西藏,0,,0,0,,0,1,0,1,0,0,0,,,
